Date,Value
01/1959,289800
02/1959,287700
03/1959,287900
04/1959,290200
05/1959,290200
06/1959,292500
07/1959,294400
08/1959,294800
09/1959,296100
10/1959,296900
11/1959,297800
12/1959,300600
01/1960,301500
02/1960,298500
03/1960,298200
04/1960,300300
05/1960,298900
06/1960,300900
07/1960,303500
08/1960,305200
09/1960,307800
10/1960,309900
11/1960,311700
12/1960,315300
01/1961,317500
02/1961,316600
03/1961,317200
04/1961,320200
05/1961,320000
06/1961,322700
07/1961,324900
08/1961,325800
09/1961,328800
10/1961,331500
11/1961,334100
12/1961,338500
01/1962,341100
02/1962,340300
03/1962,342100
04/1962,346000
05/1962,345000
06/1962,347700
07/1962,350100
08/1962,350900
09/1962,353900
10/1962,357500
11/1962,360500
12/1962,365800
01/1963,369100
02/1963,368000
03/1963,369800
04/1963,373800
05/1963,373400
06/1963,376700
07/1963,380200
08/1963,381500
09/1963,384900
10/1963,388800
11/1963,392300
12/1963,396400
01/1964,399500
02/1964,397600
03/1964,398900
04/1964,402400
05/1964,401300
06/1964,405300
07/1964,409300
08/1964,411100
09/1964,415700
10/1964,419900
11/1964,422900
12/1964,428300
01/1965,432300
02/1965,430100
03/1965,432200
04/1965,436200
05/1965,433700
06/1965,438400
07/1965,442100
08/1965,443300
09/1965,448400
10/1965,453600
11/1965,456700
12/1965,463100
01/1966,467100
02/1966,463700
03/1966,465900
04/1966,470100
05/1966,466200
06/1966,469600
07/1966,470300
08/1966,470100
09/1966,474600
10/1966,476900
11/1966,478100
12/1966,483700
01/1967,486400
02/1967,483600
03/1967,488100
04/1967,492900
05/1967,493300
06/1967,500900
07/1967,506200
08/1967,508600
09/1967,514200
10/1967,519300
11/1967,521600
12/1967,528000
01/1968,531900
02/1968,528100
03/1968,531600
04/1968,536900
05/1968,535400
06/1968,542200
07/1968,546200
08/1968,547600
09/1968,553100
10/1968,558500
11/1968,562500
12/1968,569700
01/1969,573500
02/1969,569100
03/1969,572800
04/1969,577400
05/1969,573500
06/1969,578700
07/1969,580600
08/1969,578400
09/1969,581300
10/1969,583700
11/1969,584800
12/1969,590100
01/1970,592000
02/1970,583400
03/1970,587300
04/1970,592900
05/1970,590800
06/1970,597500
07/1970,601200
08/1970,603000
09/1970,608700
10/1970,614000
11/1970,618200
12/1970,627800
01/1971,635500
02/1971,638000
03/1971,650000
04/1971,663500
05/1971,666100
06/1971,675900
07/1971,682300
08/1971,683700
09/1971,689700
10/1971,695600
11/1971,701200
12/1971,711200
01/1972,720000
02/1972,722200
03/1972,733700
04/1972,743800
05/1972,742600
06/1972,753200
07/1972,763000
08/1972,767000
09/1972,775200
10/1972,783600
11/1972,790200
12/1972,803100
01/1973,812300
02/1973,810100
03/1973,815600
04/1973,825400
05/1973,825800
06/1973,837200
07/1973,840700
08/1973,837400
09/1973,836000
10/1973,839300
11/1973,845300
12/1973,856500
01/1974,861500
02/1974,859800
03/1974,869900
04/1974,878600
05/1974,873400
06/1974,881900
07/1974,886000
08/1974,882900
09/1974,884700
10/1974,890400
11/1974,895400
12/1974,903500
01/1975,908000
02/1975,908700
03/1975,924400
04/1975,941100
05/1975,946200
06/1975,966900
07/1975,979700
08/1975,982400
09/1975,988400
10/1975,995600
11/1975,1004800
12/1975,1017800
01/1976,1028300
02/1976,1034200
03/1976,1047700
04/1976,1066900
05/1976,1070300
06/1976,1080800
07/1976,1091600
08/1976,1097300
09/1976,1108400
10/1976,1125100
11/1976,1135000
12/1976,1153500
01/1977,1167500
02/1977,1169900
03/1977,1185300
04/1977,1206600
05/1977,1205500
06/1977,1219800
07/1977,1232900
08/1977,1235300
09/1977,1244700
10/1977,1255900
11/1977,1260200
12/1977,1273000
01/1978,1282300
02/1978,1276800
03/1978,1288200
04/1978,1307400
05/1978,1304800
06/1978,1319000
07/1978,1330100
08/1978,1331400
09/1978,1344700
10/1978,1355300
11/1978,1358100
12/1978,1370800
01/1979,1375200
02/1979,1369300
03/1979,1384000
04/1979,1408400
05/1979,1402700
06/1979,1422500
07/1979,1439300
08/1979,1444300
09/1979,1454500
10/1979,1463600
11/1979,1466400
12/1979,1479000
01/1980,1486200
02/1980,1486300
03/1980,1497200
04/1980,1507700
05/1980,1504200
06/1980,1527400
07/1980,1549100
08/1980,1560700
09/1980,1573100
10/1980,1588500
11/1980,1599000
12/1980,1604800
01/1981,1610600
02/1981,1610500
03/1981,1633200
04/1981,1664500
05/1981,1655400
06/1981,1667100
07/1981,1685100
08/1981,1694600
09/1981,1706400
10/1981,1726400
11/1981,1741000
12/1981,1760300
01/1982,1772800
02/1982,1765300
03/1982,1781700
04/1982,1807900
05/1982,1804900
06/1982,1822700
07/1982,1835000
08/1982,1845900
09/1982,1859000
10/1982,1875600
11/1982,1890100
12/1982,1913800
01/1983,1963900
02/1983,1985800
03/1983,2009600
04/1983,2033700
05/1983,2031700
06/1983,2051800
07/1983,2069700
08/1983,2072500
09/1983,2081100
10/1983,2102100
11/1983,2117600
12/1983,2134000
01/1984,2145000
02/1984,2147700
03/1984,2169000
04/1984,2196000
05/1984,2191400
06/1984,2214300
07/1984,2228000
08/1984,2228900
09/1984,2242800
10/1984,2259700
11/1984,2286300
12/1984,2318500
01/1985,2339600
02/1985,2343400
03/1985,2360400
04/1985,2379700
05/1985,2376400
06/1985,2413400
07/1985,2434800
08/1985,2442500
09/1985,2452700
10/1985,2466300
11/1985,2482000
12/1985,2504100
01/1986,2510800
02/1986,2502100
03/1986,2527600
04/1986,2564800
05/1986,2571100
06/1986,2605300
07/1986,2632400
08/1986,2645900
09/1986,2661700
10/1986,2684400
11/1986,2705200
12/1986,2740700
01/1987,2753500
02/1987,2735200
03/1987,2748000
04/1987,2778900
05/1987,2759700
06/1987,2773400
07/1987,2785200
08/1987,2787500
09/1987,2793300
10/1987,2811200
11/1987,2821600
12/1987,2838300
01/1988,2857200
02/1988,2858800
03/1988,2886700
04/1988,2925300
05/1988,2910700
06/1988,2935300
07/1988,2953200
08/1988,2949800
09/1988,2950100
10/1988,2962000
11/1988,2982700
12/1988,3000600
01/1989,2998900
02/1989,2982600
03/1989,2999000
04/1989,3023200
05/1989,2996000
06/1989,3022600
07/1989,3055600
08/1989,3071100
09/1989,3086300
10/1989,3109300
11/1989,3136000
12/1989,3165600
01/1990,3170400
02/1990,3170500
03/1990,3192600
04/1990,3219800
05/1990,3186700
06/1990,3210800
07/1990,3224500
08/1990,3238700
09/1990,3249000
10/1990,3253700
11/1990,3265300
12/1990,3285100
01/1991,3289300
02/1991,3296300
03/1991,3327300
04/1991,3349500
05/1991,3330300
06/1991,3349700
07/1991,3354400
08/1991,3351400
09/1991,3347600
10/1991,3353800
11/1991,3371200
12/1991,3386400
01/1992,3383200
02/1992,3390100
03/1992,3404800
04/1992,3418900
05/1992,3388000
06/1992,3388700
