date,stock,dollar,cpi,r,gold,oil
02/1990,0.853895709,-0.820644577,0.470957614,0.26649122,1.63370803,-4.106241859
03/1990,2.425502426,1.9872608,0.546875,0.11547847,-5.698039874,-6.698176629
04/1990,-2.688709772,-0.549562657,0.155400155,0.19686364,-4.788073068,-9.071959784
05/1990,9.198911729,-1.644477121,0.232738557,-0.02731818,-1.386810603,0.119258299
06/1990,-0.888630512,0.521714568,0.541795666,-0.27818182,-4.530551416,-8.512298936
07/1990,-0.522317189,-2.961692211,0.38491147,-0.00857143,2.895013198,12.92382748
08/1990,-9.431419346,-3.531871515,0.920245399,0.28118013,8.882023557,54.02889785
09/1990,-5.118427579,-0.631686848,0.835866261,0.14054919,-1.37055709,24.47630814
10/1990,-0.669825192,-2.995487854,0.602863602,-0.17361244,-2.203842597,5.522637666
11/1990,5.993421053,-1.604702453,0.224719101,-0.32754545,0.260019961,-10.16910765
12/1990,2.482775743,1.22915838,0,-0.317,-1.252193959,-16.24215434
01/1991,4.151777603,0.433852095,0.597907324,0.01785714,1.77477119,-12.36960427
02/1991,6.728113279,-1.711224496,0.14858841,-0.2381203,-5.163695131,-20.56548448
03/1991,2.220284959,6.968739176,0.148367953,0.25526316,-0.134678284,-0.068663436
04/1991,0.034646341,4.159250631,0.148148148,-0.07090909,-1.365112567,1.999928387
05/1991,3.857732783,0.822302141,0.295857988,0.02863636,-0.399017802,1.621870566
06/1991,-4.789267116,3.360618535,0.294985251,0.21627273,2.737078022,-4.695222
07/1991,4.485935984,-0.084540619,0.147058824,-0.01127273,0.264506981,6.168353955
08/1991,1.964879709,-1.770118678,0.293685756,-0.37272727,-3.094998504,1.726399767
09/1991,-1.914371697,-2.416550341,0.439238653,-0.25,-2.124554461,3.681310354
10/1991,1.185994947,-0.601298906,0.145772595,-0.12272727,2.853128405,6.840382626
11/1991,-4.392804362,-2.910817145,0.291120815,-0.10990431,0.412612562,-3.84008179
12/1991,11.15878685,-2.697216048,0.07256894,-0.32879699,0.4331288,-14.28398997
01/1992,-1.989978182,0.29476187,0.145032632,-0.05619048,-2.012550798,-1.598790445
02/1992,0.956481323,2.428301322,0.362056481,0.30551379,-0.152348709,1.382436271
03/1992,-2.183183911,2.636903153,0.505050505,0.20437799,-2.704077308,-1.056630916
04/1992,2.789268994,-0.617315905,0.143575018,-0.06179654,-1.661148864,6.788006153
05/1992,0.096397156,-1.589244782,0.143369176,-0.08847619,-0.407536472,4.7746831
06/1992,-1.735885398,-2.645197088,0.357909807,-0.13018182,1.058593287,6.894406904
07/1992,3.93737443,-4.066721303,0.213980029,-0.41727273,3.494615768,-3.235954876
08/1992,-2.399754838,-1.78697724,0.284697509,-0.25883116,-2.738716262,-2.662534008
09/1992,0.910562037,1.021691849,0.283889283,-0.17047619,0.690841252,2.705233502
10/1992,0.210627094,3.383724948,0.353857042,0.17380952,-0.303968966,-0.670244304
11/1992,3.02617751,6.081623438,0.141043724,0.28411027,-2.71792787,-5.766372952
12/1992,1.010780109,0.669410763,-0.070422535,-0.10315789,-0.059697928,-4.832309837
01/1993,0.704597094,2.111549372,0.493305144,-0.17,-1.735260737,-3.753676129
02/1993,1.048361366,1.54063822,0.350631136,-0.34105263,0.091182639,5.106890287
03/1993,1.869727999,-0.09817632,0.34940601,-0.28372998,0.233822234,1.684031755
04/1993,-2.541678659,-3.286635502,0.278551532,-0.00569358,3.656689287,-0.068555404
05/1993,2.271746291,-0.41440432,0.138888889,0.06597619,7.315504896,-1.388942548
06/1993,0.075523668,1.462628412,0.138696255,-0.07277273,1.282749605,-4.183878013
07/1993,-0.532705924,3.166997789,0,-0.15748917,5.45860335,-6.673722378
08/1993,3.443197287,-0.121315518,0.27700831,-0.12751083,-3.403962365,1.190741779
09/1993,-0.998791958,-2.434999676,0.20718232,-0.31772727,-6.218984268,-3.398829696
